===================================================
FRONT SILHOUETTE PATHS (266 paths)
===================================================
ID: use1355                             | CenterX:  68.34 (range 35.9..100.7) | CenterY: 161.94 (range 47.1..276.8) | Source: original
ID: path1326                            | CenterX:  64.65 (range 41.9..87.4) | CenterY: 162.20 (range 40.6..283.8) | Source: original
ID: path1390                            | CenterX:  68.05 (range 42.5..93.6) | CenterY: 162.86 (range 42.6..283.1) | Source: original
ID: path1506                            | CenterX:  72.22 (range 41.9..102.5) | CenterY: 163.24 (range 48.7..277.8) | Source: original
ID: path1681                            | CenterX:  71.47 (range 45.8..97.1) | CenterY: 163.29 (range 49.4..277.2) | Source: original
ID: path1633                            | CenterX:  72.54 (range 42.8..102.3) | CenterY: 163.73 (range 46.7..280.8) | Source: original
ID: path1721                            | CenterX:  70.11 (range 37.8..102.4) | CenterY: 165.78 (range 52.6..279.0) | Source: original
ID: path919                             | CenterX:  67.33 (range 41.0..93.7) | CenterY: 167.82 (range 46.2..289.5) | Source: original
ID: path1476                            | CenterX:  71.23 (range 40.3..102.2) | CenterY: 169.11 (range 53.6..284.6) | Source: original
ID: path1751                            | CenterX:  69.80 (range 42.1..97.5) | CenterY: 170.37 (range 55.7..285.0) | Source: original
ID: path1231                            | CenterX:  39.37 (range 12.6..66.1) | CenterY: 172.10 (range 64.6..279.6) | Source: original
ID: path847                             | CenterX:  65.62 (range 33.5..97.7) | CenterY: 179.07 (range 75.3..282.9) | Source: original
ID: path1211                            | CenterX:  41.73 (range 14.7..68.7) | CenterY: 179.90 (range 63.5..296.3) | Source: original
ID: path879                             | CenterX:  52.05 (range 44.4..59.7) | CenterY: 182.58 (range 91.0..274.2) | Source: original
ID: path899                             | CenterX:  51.79 (range 44.3..59.3) | CenterY: 185.06 (range 94.0..276.1) | Source: original
ID: path968                             | CenterX:  49.65 (range 38.0..61.3) | CenterY: 189.13 (range 92.7..285.6) | Source: original
ID: path881                             | CenterX:  49.00 (range 36.9..61.1) | CenterY: 189.72 (range 90.4..289.0) | Source: original
ID: path2345                            | CenterX:  55.64 (range 44.7..66.6) | CenterY: 191.51 (range 102.8..280.2) | Source: original
ID: path2349                            | CenterX:  56.37 (range 45.0..67.7) | CenterY: 192.71 (range 107.2..278.2) | Source: original
ID: path1182                            | CenterX:  48.71 (range 44.5..53.0) | CenterY: 193.71 (range 112.0..275.5) | Source: original
ID: path2353                            | CenterX:  57.12 (range 45.8..68.5) | CenterY: 194.19 (range 110.5..277.9) | Source: original
ID: path950                             | CenterX:  47.85 (range 30.6..65.1) | CenterY: 194.75 (range 101.3..288.2) | Source: original
ID: path2357                            | CenterX:  57.07 (range 44.8..69.3) | CenterY: 195.03 (range 112.3..277.7) | Source: original
ID: path861                             | CenterX:  48.22 (range 42.0..54.4) | CenterY: 196.43 (range 102.1..290.8) | Source: original
ID: path970                             | CenterX:  66.30 (range 40.7..91.9) | CenterY: 196.94 (range 114.1..279.8) | Source: original
